id,bank,term_months,table_name,coefficient,is_active,created_at,agreement_id,safety_margin,operation_type,margin_type
341,PH Tech,24,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0659209000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
342,PH Tech,36,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0522663000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
327,PH Tech,24,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0593877000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
328,PH Tech,36,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0453704000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
335,PH Tech,36,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0483688000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
343,PH Tech,48,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0459591000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
331,PH Tech,72,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0325116000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
345,PH Tech,72,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0405664000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
338,PH Tech,72,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0359996000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
346,PH Tech,84,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0393475000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
339,PH Tech,84,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0346033000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
332,PH Tech,84,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0309762000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
340,PH Tech,96,"3415299 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,99%",0.0336867000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
333,PH Tech,96,"3415259 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 2,59%",0.0299356000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
355,PH Tech,24,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0736448000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
348,PH Tech,24,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0697214000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
356,PH Tech,36,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0605386000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
349,PH Tech,36,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0563247000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
350,PH Tech,48,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0502828000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
357,PH Tech,48,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0547834000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
358,PH Tech,60,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0518722000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
351,PH Tech,60,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0471219000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
352,PH Tech,72,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0453391000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
359,PH Tech,72,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0502945000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
347,PH Tech,96,"3415349 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,49%",0.0301480000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
354,PH Tech,96,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0385791000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
361,Teste,96,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0488980000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
360,PH Tech,84,"3415449 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 4,49%",0.0494076000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
353,PH Tech,84,"3415399 - DIG+ SIAPE CLT - REFIN COMPRA DE DIVIDA CB - 3,99%",0.0442920000,t,2025-11-20 13:40:49.39745,12,20.00,benefit_card,percentual
403,NEO,96,NCDT_096-300_318661 - CC-CB - CD,0.0318661930,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
404,NEO,96,NCDT_096-320_336350 - CC-CB - CD,0.0336350900,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
405,NEO,96,NCDT_096-340_354302 - CC-CB - CD,0.0354302180,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
406,NEO,96,NCDT_096-360_372490 - CC-CB - CD,0.0372490470,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
407,NEO,96,NCDT_096-380_390892 - CC-CB - CD,0.0390892080,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
408,NEO,96,NCDT_096-400_409485 - CC-CB - CD,0.0409485000,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
409,NEO,96,NCDT_096-420_428248 - CC-CB - CD,0.0428248880,t,2025-11-20 14:20:41.21107,15,0.00,credit_card,percentual
