id,lead_id,user_id,campaign_id,status,ordem_fila,data_primeiro_atendimento,data_ultimo_atendimento,created_at,updated_at
12150,131,30,3,novo,131,,,2025-12-14 11:49:01.354465,2025-12-14 11:49:01.354465
12152,133,30,3,novo,133,,,2025-12-14 11:49:01.475748,2025-12-14 11:49:01.475748
12154,135,30,3,novo,135,,,2025-12-14 11:49:01.596597,2025-12-14 11:49:01.596597
12156,137,30,3,novo,137,,,2025-12-14 11:49:01.717388,2025-12-14 11:49:01.717388
12158,139,30,3,novo,139,,,2025-12-14 11:49:01.837927,2025-12-14 11:49:01.837927
12160,141,30,3,novo,141,,,2025-12-14 11:49:01.959687,2025-12-14 11:49:01.959687
12162,143,30,3,novo,143,,,2025-12-14 11:49:02.081067,2025-12-14 11:49:02.081067
12164,145,30,3,novo,145,,,2025-12-14 11:49:02.201662,2025-12-14 11:49:02.201662
12166,147,30,3,novo,147,,,2025-12-14 11:49:02.322789,2025-12-14 11:49:02.322789
12168,149,30,3,novo,149,,,2025-12-14 11:49:02.443968,2025-12-14 11:49:02.443968
12170,151,30,3,novo,151,,,2025-12-14 11:49:02.570228,2025-12-14 11:49:02.570228
12172,153,30,3,novo,153,,,2025-12-14 11:49:02.690862,2025-12-14 11:49:02.690862
12174,155,30,3,novo,155,,,2025-12-14 11:49:02.811966,2025-12-14 11:49:02.811966
12176,157,30,3,novo,157,,,2025-12-14 11:49:02.933938,2025-12-14 11:49:02.933938
12178,159,30,3,novo,159,,,2025-12-14 11:49:03.0568,2025-12-14 11:49:03.0568
12180,161,30,3,novo,161,,,2025-12-14 11:49:03.177694,2025-12-14 11:49:03.177694
12182,163,30,3,novo,163,,,2025-12-14 11:49:03.298982,2025-12-14 11:49:03.298982
12184,165,30,3,novo,165,,,2025-12-14 11:49:03.420784,2025-12-14 11:49:03.420784
12186,167,30,3,novo,167,,,2025-12-14 11:49:03.54117,2025-12-14 11:49:03.54117
12188,169,30,3,novo,169,,,2025-12-14 11:49:03.663515,2025-12-14 11:49:03.663515
12190,171,30,3,novo,171,,,2025-12-14 11:49:03.785649,2025-12-14 11:49:03.785649
12090,3,30,3,em_atendimento,71,2025-12-15 23:42:27.467,2025-12-15 23:42:27.467,2025-12-14 11:48:57.71162,2025-12-15 23:42:27.467
52,52,30,3,em_atendimento,2,2025-12-12 00:52:45.373,2025-12-12 00:52:45.373,2025-12-12 00:50:07.384098,2025-12-12 00:52:45.373
54,54,30,3,em_atendimento,4,2025-12-12 00:59:16.543,2025-12-12 00:59:16.543,2025-12-12 00:50:07.5133,2025-12-12 00:59:16.543
55,55,30,3,em_atendimento,5,2025-12-12 10:30:56.775,2025-12-12 10:30:56.775,2025-12-12 00:50:07.575245,2025-12-12 10:30:56.775
58,58,30,3,em_atendimento,8,2025-12-12 10:34:11.066,2025-12-12 10:34:11.066,2025-12-12 00:50:07.760222,2025-12-12 10:34:11.066
56,56,30,3,em_atendimento,6,2025-12-12 10:32:47.114,2025-12-12 10:32:56.096,2025-12-12 00:50:07.636496,2025-12-12 10:32:56.096
59,59,30,3,em_atendimento,9,2025-12-12 18:27:53.294,2025-12-12 18:27:53.294,2025-12-12 00:50:07.822303,2025-12-12 18:27:53.295
60,60,30,3,em_atendimento,10,2025-12-12 18:32:00.071,2025-12-12 18:32:00.071,2025-12-12 00:50:07.883309,2025-12-12 18:32:00.071
61,61,30,3,em_atendimento,11,2025-12-12 18:34:59.268,2025-12-12 18:34:59.268,2025-12-12 00:50:07.94529,2025-12-12 18:34:59.268
62,62,30,3,em_atendimento,12,2025-12-12 18:53:44.702,2025-12-12 18:53:44.702,2025-12-12 00:50:08.006004,2025-12-12 18:53:44.702
64,64,30,3,em_atendimento,14,2025-12-12 22:35:20.209,2025-12-12 22:35:20.209,2025-12-12 00:50:08.132488,2025-12-12 22:35:20.209
65,65,30,3,em_atendimento,15,2025-12-12 22:35:57.519,2025-12-12 22:35:57.519,2025-12-12 00:50:08.194741,2025-12-12 22:35:57.519
66,66,30,3,em_atendimento,16,2025-12-12 22:38:22.905,2025-12-12 22:38:22.905,2025-12-12 00:50:08.255071,2025-12-12 22:38:22.905
67,67,30,3,em_atendimento,17,2025-12-12 22:40:26.166,2025-12-12 22:40:26.166,2025-12-12 00:50:08.315898,2025-12-12 22:40:26.166
69,69,30,3,em_atendimento,19,2025-12-12 23:07:55.068,2025-12-12 23:07:55.068,2025-12-12 00:50:08.443179,2025-12-12 23:07:55.068
70,70,30,3,em_atendimento,20,2025-12-12 23:08:49.508,2025-12-12 23:08:49.508,2025-12-12 00:50:08.503863,2025-12-12 23:08:49.508
71,71,30,3,em_atendimento,21,2025-12-13 00:18:16.687,2025-12-13 00:18:16.687,2025-12-12 00:50:08.565585,2025-12-13 00:18:16.687
72,72,30,3,em_atendimento,22,2025-12-13 04:09:10.828,2025-12-13 04:09:10.828,2025-12-12 00:50:08.626699,2025-12-13 04:09:10.828
74,74,30,3,em_atendimento,24,2025-12-13 04:28:03.971,2025-12-13 04:28:03.971,2025-12-12 00:50:08.748605,2025-12-13 04:28:03.971
75,75,30,3,em_atendimento,25,2025-12-13 04:28:06.537,2025-12-13 04:28:06.537,2025-12-12 00:50:08.811021,2025-12-13 04:28:06.537
76,76,30,3,em_atendimento,26,2025-12-13 04:28:09.637,2025-12-13 04:28:09.637,2025-12-12 00:50:08.871096,2025-12-13 04:28:09.637
77,77,30,3,em_atendimento,27,2025-12-13 12:00:34.056,2025-12-13 12:00:34.056,2025-12-12 00:50:08.932505,2025-12-13 12:00:34.056
79,79,30,3,em_atendimento,29,2025-12-13 12:20:12.27,2025-12-13 12:20:12.27,2025-12-12 00:50:09.053854,2025-12-13 12:20:12.27
81,81,30,3,em_atendimento,31,2025-12-13 12:20:27.131,2025-12-13 12:20:27.131,2025-12-12 00:50:09.174765,2025-12-13 12:20:27.131
80,80,30,3,em_atendimento,30,2025-12-13 12:20:14.486,2025-12-13 12:20:26.66,2025-12-12 00:50:09.113901,2025-12-13 12:20:26.66
82,82,30,3,em_atendimento,32,2025-12-13 12:21:29.437,2025-12-13 12:21:29.437,2025-12-12 00:50:09.235812,2025-12-13 12:21:29.437
84,84,30,3,em_atendimento,34,2025-12-13 12:37:59.582,2025-12-13 12:37:59.582,2025-12-12 00:50:09.35753,2025-12-13 12:37:59.582
85,85,30,3,em_atendimento,35,2025-12-13 12:59:33.228,2025-12-13 12:59:33.228,2025-12-12 00:50:09.421597,2025-12-13 12:59:33.228
86,86,30,3,em_atendimento,36,2025-12-13 13:00:19.715,2025-12-13 13:00:19.715,2025-12-12 00:50:09.483035,2025-12-13 13:00:19.715
87,87,30,3,em_atendimento,37,2025-12-13 13:01:10.432,2025-12-13 13:01:10.432,2025-12-12 00:50:09.544406,2025-12-13 13:01:10.432
89,89,30,3,em_atendimento,39,2025-12-13 15:37:36.948,2025-12-13 15:37:36.948,2025-12-12 00:50:09.667226,2025-12-13 15:37:36.948
90,90,30,3,em_atendimento,40,2025-12-13 16:07:58.559,2025-12-13 16:07:58.559,2025-12-12 00:50:09.727459,2025-12-13 16:07:58.559
91,91,30,3,em_atendimento,41,2025-12-13 16:08:44.531,2025-12-13 16:08:44.531,2025-12-12 00:50:09.788551,2025-12-13 16:08:44.531
92,92,30,3,em_atendimento,42,2025-12-13 16:12:13.912,2025-12-13 16:12:13.912,2025-12-12 00:50:09.8494,2025-12-13 16:12:13.913
94,94,30,3,em_atendimento,44,2025-12-13 16:15:34.641,2025-12-13 16:15:34.641,2025-12-12 00:50:09.970611,2025-12-13 16:15:34.641
95,95,30,3,em_atendimento,45,2025-12-13 16:21:55.616,2025-12-13 16:21:55.616,2025-12-12 00:50:10.031493,2025-12-13 16:21:55.616
96,96,30,3,em_atendimento,46,2025-12-13 16:30:33.69,2025-12-13 16:30:33.69,2025-12-12 00:50:10.093726,2025-12-13 16:30:33.691
98,98,30,3,em_atendimento,48,2025-12-13 16:31:52.91,2025-12-13 16:31:52.91,2025-12-12 00:50:10.215486,2025-12-13 16:31:52.91
12093,6,30,3,novo,74,,,2025-12-14 11:48:57.895131,2025-12-14 11:48:57.895131
12095,8,30,3,novo,76,,,2025-12-14 11:48:58.016293,2025-12-14 11:48:58.016293
12097,10,30,3,novo,78,,,2025-12-14 11:48:58.139185,2025-12-14 11:48:58.139185
12099,12,30,3,novo,80,,,2025-12-14 11:48:58.262134,2025-12-14 11:48:58.262134
12101,14,30,3,novo,82,,,2025-12-14 11:48:58.382702,2025-12-14 11:48:58.382702
12103,16,30,3,novo,84,,,2025-12-14 11:48:58.503017,2025-12-14 11:48:58.503017
12105,18,30,3,novo,86,,,2025-12-14 11:48:58.624838,2025-12-14 11:48:58.624838
12107,20,30,3,novo,88,,,2025-12-14 11:48:58.745883,2025-12-14 11:48:58.745883
12109,22,30,3,novo,90,,,2025-12-14 11:48:58.86695,2025-12-14 11:48:58.86695
12111,24,30,3,novo,92,,,2025-12-14 11:48:58.986969,2025-12-14 11:48:58.986969
12113,26,30,3,novo,94,,,2025-12-14 11:48:59.107922,2025-12-14 11:48:59.107922
12115,28,30,3,novo,96,,,2025-12-14 11:48:59.228382,2025-12-14 11:48:59.228382
12117,30,30,3,novo,98,,,2025-12-14 11:48:59.349327,2025-12-14 11:48:59.349327
12119,32,30,3,novo,100,,,2025-12-14 11:48:59.470063,2025-12-14 11:48:59.470063
12121,34,30,3,novo,102,,,2025-12-14 11:48:59.590967,2025-12-14 11:48:59.590967
12123,36,30,3,novo,104,,,2025-12-14 11:48:59.714028,2025-12-14 11:48:59.714028
12125,38,30,3,novo,106,,,2025-12-14 11:48:59.835355,2025-12-14 11:48:59.835355
12127,40,30,3,novo,108,,,2025-12-14 11:48:59.955728,2025-12-14 11:48:59.955728
12129,42,30,3,novo,110,,,2025-12-14 11:49:00.076062,2025-12-14 11:49:00.076062
12131,44,30,3,novo,112,,,2025-12-14 11:49:00.197693,2025-12-14 11:49:00.197693
12133,46,30,3,novo,114,,,2025-12-14 11:49:00.318025,2025-12-14 11:49:00.318025
12135,48,30,3,novo,116,,,2025-12-14 11:49:00.441576,2025-12-14 11:49:00.441576
12137,50,30,3,novo,118,,,2025-12-14 11:49:00.562931,2025-12-14 11:49:00.562931
12139,120,30,3,novo,120,,,2025-12-14 11:49:00.684901,2025-12-14 11:49:00.684901
12141,122,30,3,novo,122,,,2025-12-14 11:49:00.805475,2025-12-14 11:49:00.805475
12143,124,30,3,novo,124,,,2025-12-14 11:49:00.930743,2025-12-14 11:49:00.930743
12145,126,30,3,novo,126,,,2025-12-14 11:49:01.051722,2025-12-14 11:49:01.051722
12147,128,30,3,novo,128,,,2025-12-14 11:49:01.172207,2025-12-14 11:49:01.172207
12149,130,30,3,novo,130,,,2025-12-14 11:49:01.293119,2025-12-14 11:49:01.293119
12151,132,30,3,novo,132,,,2025-12-14 11:49:01.415357,2025-12-14 11:49:01.415357
12153,134,30,3,novo,134,,,2025-12-14 11:49:01.536877,2025-12-14 11:49:01.536877
12155,136,30,3,novo,136,,,2025-12-14 11:49:01.657446,2025-12-14 11:49:01.657446
12157,138,30,3,novo,138,,,2025-12-14 11:49:01.777974,2025-12-14 11:49:01.777974
12159,140,30,3,novo,140,,,2025-12-14 11:49:01.89925,2025-12-14 11:49:01.89925
12161,142,30,3,novo,142,,,2025-12-14 11:49:02.020904,2025-12-14 11:49:02.020904
12163,144,30,3,novo,144,,,2025-12-14 11:49:02.142134,2025-12-14 11:49:02.142134
12165,146,30,3,novo,146,,,2025-12-14 11:49:02.262684,2025-12-14 11:49:02.262684
12167,148,30,3,novo,148,,,2025-12-14 11:49:02.384087,2025-12-14 11:49:02.384087
12169,150,30,3,novo,150,,,2025-12-14 11:49:02.509647,2025-12-14 11:49:02.509647
12171,152,30,3,novo,152,,,2025-12-14 11:49:02.631098,2025-12-14 11:49:02.631098
12173,154,30,3,novo,154,,,2025-12-14 11:49:02.752218,2025-12-14 11:49:02.752218
12175,156,30,3,novo,156,,,2025-12-14 11:49:02.872848,2025-12-14 11:49:02.872848
12177,158,30,3,novo,158,,,2025-12-14 11:49:02.995911,2025-12-14 11:49:02.995911
12179,160,30,3,novo,160,,,2025-12-14 11:49:03.117657,2025-12-14 11:49:03.117657
